編號,動作片,科幻劇,體育紀錄片,浪漫喜劇,劇情片,家庭劇,每週觀看時數是否超過10小時,性別
1,5,4,5,2,3,1,1,1
2,4,5,4,1,2,2,1,1
3,5,4,5,2,3,1,1,1
4,4,5,4,1,2,2,1,1
5,5,4,5,2,3,1,1,1
6,4,5,4,1,2,2,1,1
7,5,4,5,2,3,1,1,1
8,4,5,4,1,2,2,1,1
9,5,4,5,2,3,1,1,1
10,4,5,4,1,2,2,1,1
11,5,4,5,2,3,1,1,1
12,4,5,4,1,2,2,1,1
13,5,4,5,2,3,1,1,1
14,4,5,4,1,2,2,1,1
15,5,4,5,2,3,1,1,1
16,4,5,4,1,2,2,1,1
17,5,4,5,2,3,1,1,1
18,4,5,4,1,2,2,1,1
19,5,4,5,2,3,1,1,1
20,4,5,4,1,2,2,1,1
21,2,3,2,5,4,5,2,2
22,1,2,1,5,5,4,2,2
23,2,3,2,5,4,5,2,2
24,1,2,1,5,5,4,2,2
25,2,3,2,5,4,5,2,2
26,1,2,1,5,5,4,2,2
27,2,3,2,5,4,5,2,2
28,1,2,1,5,5,4,2,2
29,2,3,2,5,4,5,2,2
30,1,2,1,5,5,4,2,2
31,2,3,2,5,4,5,2,2
32,1,2,1,5,5,4,2,2
33,2,3,2,5,4,5,2,2
34,1,2,1,5,5,4,2,2
35,2,3,2,5,4,5,2,2
36,1,2,1,5,5,4,2,2
37,2,3,2,5,4,5,2,2
38,1,2,1,5,5,4,2,2
39,2,3,2,5,4,5,2,2
40,1,2,1,5,5,4,2,2
41,2,3,2,5,4,5,2,2
42,1,2,1,5,5,4,2,2
43,2,3,2,5,4,5,2,2
44,1,2,1,5,5,4,2,2
45,2,3,2,5,4,5,2,2
46,1,2,1,5,5,4,2,2
47,2,3,2,5,4,5,2,2
48,1,2,1,5,5,4,2,2
49,2,3,2,5,4,5,2,2
50,1,2,1,5,5,4,2,2
