編號,動作片,科幻劇,體育紀錄片,浪漫喜劇,劇情片,家庭劇,是否每週看超過10小時,性別
1,5,4,5,2,3,1,1,1
2,2,2,3,4,5,4,2,2
3,4,3,5,2,2,3,1,1
4,3,5,4,3,4,5,2,2
5,5,4,5,2,3,1,1,1
6,3,2,3,4,5,4,2,2
7,4,3,4,2,2,3,1,1
8,5,5,5,3,4,5,2,2
9,2,3,3,4,5,4,1,1
10,4,4,4,3,3,5,2,2
11,5,4,5,2,3,2,1,1
12,3,3,4,4,5,4,2,2
13,5,5,5,3,2,3,1,1
14,4,4,5,4,5,5,2,2
15,3,3,3,3,4,4,1,1
16,5,5,5,4,4,5,2,2
17,2,3,4,3,5,3,1,1
18,4,4,5,4,4,5,2,2
19,5,4,5,3,3,2,1,1
20,3,3,4,4,5,4,2,2
21,5,5,5,3,2,3,1,1
22,3,4,4,4,5,5,2,2
23,4,4,5,3,3,4,1,1
24,5,5,5,4,4,5,2,2
25,2,3,3,4,5,4,1,1
26,4,4,4,3,3,5,2,2
27,5,4,5,2,3,3,1,1
28,3,4,4,4,5,5,2,2
29,4,3,5,3,3,4,1,1
30,5,5,5,4,4,5,2,2
31,2,3,4,3,5,3,1,1
32,4,4,5,4,4,5,2,2
33,5,4,5,3,3,2,1,1
34,3,3,4,4,5,4,2,2
35,5,5,5,3,2,3,1,1
36,4,4,5,4,4,5,2,2
37,2,3,4,3,5,3,1,1
38,4,4,5,4,4,5,2,2
39,5,4,5,3,3,2,1,1
40,3,3,4,4,5,4,2,2
41,5,5,5,3,2,3,1,1
42,3,4,4,4,5,5,2,2
43,4,4,5,3,3,4,1,1
44,5,5,5,4,4,5,2,2
45,2,3,3,4,5,4,1,1
46,4,4,4,3,3,5,2,2
47,5,4,5,2,3,3,1,1
48,3,4,4,4,5,5,2,2
49,4,3,5,3,3,4,1,1
50,5,5,5,4,4,5,2,2
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
