編號,每週運動次數,飲食類型,性別,年齡區段
1,1,1,1,1
2,1,1,2,2
3,1,1,1,3
4,1,1,2,2
5,1,1,1,1
6,1,2,2,3
7,1,2,1,2
8,1,2,2,1
9,1,2,1,2
10,1,2,2,3
11,2,1,1,1
12,2,1,2,2
13,2,1,1,3
14,2,1,2,2
15,2,1,1,1
16,2,1,2,3
17,2,1,1,2
18,2,1,2,1
19,2,1,1,2
20,2,1,2,3
21,2,3,1,1
22,2,3,2,2
23,2,3,1,3
24,2,3,2,2
25,2,3,1,1
26,3,1,2,3
27,3,1,1,2
28,3,1,2,1
29,3,1,1,2
30,3,1,2,3
31,3,2,1,1
32,3,2,2,2
33,3,2,1,3
34,3,2,2,2
35,3,2,1,1
36,3,2,2,3
37,3,2,1,2
38,3,2,2,1
39,3,2,1,2
40,3,2,2,3
41,3,3,1,1
42,3,3,2,2
43,3,3,1,3
44,3,3,2,2
45,3,3,1,1
46,3,3,2,3
47,3,3,1,2
48,3,3,2,1
49,3,3,1,2
50,3,3,2,3
