編號,是否有手機,平均月費,性別,居住狀況
1,1,80,1,2
2,1,400,1,1
3,1,300,1,1
4,1,200,1,3
5,1,1000,2,3
6,1,1200,2,3
7,1,900,2,2
8,1,800,1,1
9,1,250,1,1
10,1,500,1,1
11,1,200,1,1
12,1,400,1,1
13,1,500,2,2
14,1,1300,2,3
15,1,600,1,1
16,1,300,1,3
17,1,1200,1,1
18,1,400,1,3
19,1,600,1,1
20,1,1000,1,3
21,1,400,1,3
22,1,900,2,1
23,1,700,2,1
24,1,700,2,1
25,1,600,2,1
26,1,650,2,1
27,1,600,2,2
28,1,650,2,2
29,1,500,2,3
30,1,700,2,3
31,1,700,2,2
32,1,700,2,3
33,1,580,2,1
34,1,600,2,3
35,1,500,1,1
36,1,200,1,1
37,1,1400,2,3
38,1,1600,2,3
39,1,1800,2,1
40,1,800,2,1
41,1,1200,2,3
42,1,700,2,2
43,1,800,2,2
44,1,600,1,2
45,1,800,1,1
46,1,1000,1,1
47,1,600,1,1
48,1,800,2,3
49,1,1200,2,1
50,1,1400,2,1
51,1,900,2,3
52,1,550,2,1
53,1,1600,2,1
54,1,2000,2,1
55,1,400,1,3
56,1,1500,1,3
57,1,600,1,1
58,1,400,1,3
59,1,1200,2,2
60,1,1400,2,3
61,1,1600,2,1
62,1,2000,2,1
63,1,200,1,3
64,1,300,1,1
65,1,1000,2,2
66,1,200,1,2
67,1,1400,2,1
68,1,500,1,2
69,1,600,2,2
70,1,200,1,2
71,1,500,2,2
72,1,300,1,2
73,1,200,1,2
74,1,600,1,3
75,1,600,2,2
76,1,600,2,2
77,1,200,1,2
78,1,300,1,2
79,1,500,1,2
80,1,800,2,2
81,1,800,2,2
82,1,300,1,2
83,1,200,1,2
84,1,600,2,2
85,1,1200,2,2
86,1,800,2,2
87,2,0,1,2
88,2,400,2,2
89,1,900,2,2
90,1,1000,2,2
91,1,400,1,2
92,1,800,2,2
93,1,800,1,1
94,1,1300,2,1
95,1,600,1,2
96,1,800,1,1
97,1,1200,2,2
98,1,900,2,1
99,1,430,2,3
100,1,2400,2,1
101,1,1600,2,1
102,1,700,2,3
103,1,600,2,1
104,1,200,1,1
105,1,700,1,3
106,2,400,2,3
107,2,400,2,2
108,1,200,1,2
109,1,1500,1,1
110,1,900,2,1
111,1,1150,2,1
112,1,900,2,1
113,1,800,2,3
114,2,0,1,1
115,1,1300,1,1
116,2,400,2,1
117,1,800,1,1
118,1,900,2,1
119,2,0,1,1
120,1,200,1,1
121,2,400,2,1
122,1,650,2,3
123,1,700,2,1
124,2,0,1,1
125,2,0,1,1
126,1,800,2,1
127,1,900,2,1
128,2,400,2,1
129,1,300,1,2
130,1,300,1,1
131,2,400,2,1
132,2,400,2,1
133,1,1000,2,1
134,1,800,2,1
135,1,700,2,1
136,2,400,2,2
137,1,200,1,3
138,1,300,1,1
139,1,1500,1,1
140,1,1000,1,3
141,1,250,1,2
142,2,0,1,3
143,1,400,1,3
144,1,200,1,3
145,1,400,1,3
146,2,400,2,1
147,2,400,2,1
148,2,400,2,1
149,1,1200,2,2
150,1,1400,2,2
151,1,900,2,3
152,1,1600,2,1
153,1,900,2,1
154,1,2000,2,1
155,1,1000,2,1
156,1,900,2,3
157,1,900,2,1
158,1,600,1,1
159,1,300,1,1
160,1,800,2,2
161,1,750,2,3
162,1,700,2,2
163,1,1000,2,3
164,1,900,2,3
165,1,950,2,3
166,1,800,2,2
167,1,300,1,2
168,1,900,2,1
169,1,300,1,1
170,1,600,2,2
171,1,800,2,1
172,1,800,1,1
173,1,600,2,1
174,1,800,2,2
175,1,200,1,3
176,1,500,1,1
177,1,800,2,2
178,2,400,2,3
179,1,700,2,2
180,2,0,1,2
181,1,700,2,2
182,1,600,2,1
183,2,0,1,3
184,2,0,1,3
185,2,400,2,2
186,1,1200,2,1
187,1,600,2,2
188,2,400,2,2
189,1,700,1,1
190,1,700,2,1
191,1,1600,2,1
