編號,使用品牌,去頭皮屑,保濕,熱油護髮,止癢,香味,防止分岔,柔順,整體效果
1 ,10,4,5,3,4,3,4,4,5
2 ,0,3,3,3,3,3,3,3,3
3 ,0,3,3,3,3,3,3,3,4
4 ,5,3,2,2,4,4,3,4,5
5 ,1,5,4,2,5,3,3,3,4
6 ,10,4,5,4,3,4,5,5,5
7 ,0,2,4,2,3,4,4,4,4
8 ,1,5,4,3,3,4,4,5,4
9 ,5,3,3,3,3,3,3,3,3
10 ,1,4,3,4,4,4,4,4,4
11 ,5,5,3,3,5,4,4,4,4
12 ,10,5,4,4,3,1,3,5,4
13 ,0,5,5,5,3,4,5,5,5
14 ,0,5,5,5,4,4,4,4,5
15 ,0,5,5,4,4,4,5,5,4
16 ,3,3,5,4,4,5,5,5,5
17 ,0,3,3,3,3,2,3,4,4
18 ,1,4,4,3,3,4,4,4,4
19 ,0,3,3,3,3,3,3,3,3
20 ,0,3,3,3,3,3,3,3,3
21 ,0,4,2,2,4,4,3,3,4
22 ,0,3,3,3,3,3,3,3,4
23 ,0,4,4,4,4,4,4,4,4
24 ,0,4,5,5,3,4,4,4,3
25 ,0,4,4,4,4,4,4,4,4
26 ,0,3,3,3,3,3,3,3,3
27 ,1,3,3,3,4,4,3,4,4
28 ,0,3,4,5,2,3,4,4,4
29 ,0,4,3,4,3,5,2,4,4
30 ,7,4,4,2,4,2,3,2,2
31 ,0,5,4,4,5,5,4,5,5
32 ,0,4,4,3,4,3,3,4,4
33 ,0,5,3,3,4,4,4,4,4
34 ,0,4,5,5,5,3,5,5,4
35 ,0,4,3,3,3,3,3,3,3
36 ,0,2,4,2,4,3,3,5,4
37 ,3,4,4,4,4,4,3,5,4
38 ,2,5,4,3,4,2,3,5,4
39 ,0,3,4,4,4,4,4,4,4
40 ,0,5,5,4,5,5,5,5,5
41 ,0,5,5,4,5,5,5,5,5
42 ,0,4,4,3,4,4,3,4,3
43 ,3,5,5,5,5,3,5,5,5
44 ,1,3,3,2,2,5,5,4,4
45 ,1,5,5,5,5,3,4,5,2
46 ,3,5,5,2,5,4,5,5,5
47 ,0,5,3,5,4,3,3,4,5
48 ,0,3,5,4,3,2,5,4,5
49 ,0,5,5,4,4,3,4,3,4
50 ,1,5,4,4,5,4,5,4,4
51 ,0,5,5,5,5,5,5,5,5
52 ,0,4,4,2,3,4,2,5,4
53 ,0,4,4,3,5,5,4,5,2
54 ,0,4,4,2,3,5,1,2,5
55 ,3,5,5,5,5,5,5,5,5
56 ,1,5,4,3,5,3,4,5,5
57 ,0,4,4,3,3,4,3,4,3
58 ,0,5,5,3,4,5,5,5,5
59 ,0,5,5,3,4,5,4,5,5
60 ,2,5,4,3,4,5,4,4,5
61 ,3,5,5,5,5,5,5,5,5
62 ,3,5,5,5,5,5,5,5,5
63 ,0,4,5,5,4,4,5,5,5
64 ,7,5,5,4,5,4,5,5,3
65 ,7,5,4,3,5,4,4,4,5
66 ,0,3,3,3,3,3,3,3,3
67 ,0,4,4,2,4,5,5,5,3
68 ,0,4,2,4,4,4,3,4,5
69 ,0,3,3,3,3,3,3,3,3
70 ,0,4,5,3,4,4,4,5,3
71 ,0,5,4,3,5,4,4,5,5
72 ,10,5,3,3,5,3,4,4,4
73 ,0,3,4,3,3,4,3,4,4
74 ,10,3,4,1,4,4,3,5,4
75 ,3,5,5,3,5,4,4,4,3
76 ,3,3,5,4,4,4,5,5,4
77 ,0,2,4,4,2,5,3,5,4
78 ,10,3,3,3,3,3,3,3,3
79 ,2,3,3,3,3,3,3,3,3
80 ,2,4,3,3,4,4,3,4,4
81 ,0,4,4,4,4,4,4,5,5
82 ,0,3,3,3,3,3,3,3,3
83 ,5,3,3,2,3,4,4,4,3
84 ,10,4,4,4,3,5,5,4,4
85 ,0,4,4,2,2,3,1,4,4
86 ,7,3,4,3,3,4,3,4,4
87 ,0,4,3,2,3,4,4,4,4
88 ,1,5,5,4,5,5,4,5,5
89 ,3,4,5,4,4,4,4,5,5
90 ,0,3,5,4,3,2,5,4,4
91 ,10,5,3,3,5,4,4,4,4
92 ,10,3,3,2,5,5,2,4,2
93 ,0,2,4,2,2,4,2,4,4
94 ,0,4,4,4,3,4,4,4,3
95 ,0,4,5,5,4,3,3,5,5
96 ,0,4,5,4,4,3,4,5,4
97 ,3,2,5,2,5,5,3,5,5
98 ,0,4,5,5,4,5,5,5,5
99 ,0,1,2,2,2,2,2,1,1
100 ,3,4,4,3,4,4,3,4,4
101 ,7,3,3,3,3,3,3,4,3
102 ,7,5,4,3,5,2,5,5,4
103 ,0,4,5,5,5,4,4,5,5
104 ,0,4,4,4,4,4,4,5,5
105 ,10,4,4,3,4,4,5,5,3
106 ,0,4,3,2,4,4,3,5,5
107 ,0,4,5,5,3,4,4,5,4
108 ,10,4,5,4,4,3,5,5,2
109 ,3,4,5,5,5,4,4,5,5
110 ,7,4,5,5,4,4,5,5,5
111 ,1,4,4,1,4,3,3,4,5
112 ,1,5,5,4,5,4,4,4,5
113 ,0,2,3,3,4,3,3,4,4
114 ,0,4,4,4,4,4,5,5,5
115 ,0,1,5,3,2,3,4,5,4
116 ,0,1,5,5,1,3,4,4,3
117 ,1,4,4,4,4,3,3,5,3
118 ,10,3,4,5,4,4,4,5,5
119 ,0,5,4,3,5,4,4,4,4
120 ,0,3,5,4,3,5,1,4,4
121 ,0,3,5,4,4,4,5,5,4
122 ,0,4,4,3,4,5,4,3,3
123 ,0,3,3,3,3,3,3,3,3
124 ,0,4,4,4,3,4,4,5,4
125 ,0,3,2,2,4,4,2,4,3
126 ,0,4,3,2,4,4,3,3,4
127 ,3,4,3,4,4,3,4,4,4
128 ,1,4,4,4,3,3,5,5,5
129 ,3,3,5,4,3,3,4,5,5
130 ,3,5,5,3,5,3,4,5,5
131 ,10,4,5,3,4,4,5,5,4
132 ,10,4,4,4,4,4,4,4,4
133 ,0,4,2,3,4,2,2,3,3
134 ,0,4,4,4,4,2,3,4,3
135 ,0,1,5,5,3,4,5,5,5
136 ,0,3,3,3,3,3,3,3,3
137 ,0,2,4,1,1,2,2,4,4
138 ,0,4,4,4,4,2,3,5,5
139 ,0,4,5,5,5,5,5,5,4
140 ,0,3,3,3,3,4,4,5,5
141 ,3,3,5,3,4,5,4,5,5
142 ,3,4,4,3,4,4,3,5,5
143 ,10,3,4,4,3,5,4,4,4
144 ,7,3,3,3,3,3,3,3,3
145 ,7,3,4,1,3,4,3,3,4
146 ,0,3,4,4,2,2,4,4,4
147 ,0,4,5,4,4,5,4,5,5
148 ,0,4,5,4,4,3,5,4,4
149 ,0,5,3,3,4,3,4,4,4
150 ,10,4,5,5,3,4,4,5,5
151 ,10,4,4,4,4,4,4,4,4
152 ,7,4,5,5,5,4,5,5,5
153 ,1,5,5,4,5,1,5,5,5
154 ,0,4,3,3,4,2,2,4,4
155 ,0,3,5,4,3,4,5,5,5
156 ,0,4,4,4,3,2,3,4,4
157 ,0,2,4,1,3,4,2,5,5
158 ,0,1,4,4,3,5,4,5,5
159 ,0,3,4,4,3,4,5,5,4
160 ,0,4,3,3,5,5,5,5,4
161 ,0,4,4,1,4,4,4,5,5
162 ,0,3,4,2,2,2,3,4,4
163 ,0,4,4,4,4,3,3,4,5
164 ,0,4,5,2,4,3,4,4,5
165 ,0,4,4,3,4,3,3,4,3
166 ,0,1,1,2,2,2,3,2,5
167 ,0,4,4,3,3,4,4,4,4
168 ,0,3,3,3,3,3,3,3,3
169 ,0,2,5,5,3,5,4,5,5
170 ,0,5,4,4,4,2,4,5,4
171 ,0,4,4,4,5,4,5,4,5
172 ,0,4,5,4,5,4,4,5,5
173 ,0,3,3,4,2,5,4,4,5
174 ,0,4,4,3,4,3,4,5,4
175 ,7,4,3,4,2,5,5,3,5
176 ,10,3,3,2,4,3,4,4,5
177 ,10,4,5,4,4,5,5,5,5
178 ,7,4,4,1,4,3,4,5,5
179 ,1,3,4,3,4,4,5,5,3
180 ,10,5,3,5,5,5,3,3,3
181 ,10,2,5,2,2,5,5,5,5
182 ,10,4,5,4,2,5,5,5,4
183 ,1,4,3,3,5,4,3,5,4
184 ,5,2,4,3,3,5,4,5,5
