編號,性別,運動時間
1,1,120
2,1,10
3,2,0
4,2,120
5,1,120
6,1,15
7,1,150
8,2,30
9,2,0
10,2,0
11,1,60
12,1,30
13,1,120
14,1,120
15,1,120
16,2,0
17,2,60
18,1,60
19,1,60
20,1,120
21,1,30
22,2,0
23,2,30
24,2,30
25,1,0
26,1,60
27,1,60
28,2,60
29,2,60
30,1,60
31,2,15
32,1,120
33,1,120
34,2,0
35,1,45
36,1,60
37,1,90
38,1,60
39,1,100
40,1,120
41,1,260
42,1,120
43,1,120
44,1,126
45,2,30
46,1,90
47,2,105
48,2,120
49,1,105
50,2,105
51,2,30
52,1,60
53,1,60
54,1,60
55,1,144
56,1,90
57,2,260
58,1,90
59,1,60
60,2,60
61,1,120
62,2,90
63,2,30
64,2,30
65,2,60
66,2,0
67,2,120
68,2,90
69,2,90
70,2,90
71,1,120
72,1,90
73,1,120
74,2,90
75,2,60
76,1,120
77,2,10
78,1,300
79,1,120
80,1,60
81,2,90
82,2,40
83,1,60
84,2,90
85,2,30
86,1,90
87,1,90
88,1,60
89,1,150
90,2,240
91,1,120
92,2,120
93,2,90
94,2,60
95,2,30
96,2,240
97,2,60
98,1,0
99,2,120
100,1,0
101,1,120
102,1,60
103,2,120
104,1,60
105,2,120
106,2,70
107,2,120
108,2,120
109,2,15
110,2,90
111,1,150
112,2,120
113,2,120
114,2,120
115,2,120
